term,profession_group_web,mp_count,denominator_mp_count,presence_share,presence_share_percent
7,Biznes i finanse,96,517,0.18568665377176016,18.568665377176018
8,Biznes i finanse,89,505,0.17623762376237623,17.62376237623762
9,Biznes i finanse,79,475,0.16631578947368422,16.63157894736842
10,Biznes i finanse,116,488,0.23770491803278687,23.770491803278688
7,Edukacja i nauka,141,517,0.2727272727272727,27.27272727272727
8,Edukacja i nauka,112,505,0.22178217821782178,22.17821782178218
9,Edukacja i nauka,78,475,0.16421052631578947,16.42105263157895
10,Edukacja i nauka,116,488,0.23770491803278687,23.770491803278688
7,Inne,15,517,0.029013539651837523,2.9013539651837523
8,Inne,22,505,0.04356435643564356,4.356435643564356
9,Inne,12,475,0.02526315789473684,2.526315789473684
10,Inne,13,488,0.02663934426229508,2.663934426229508
7,"Kultura, media i sport",21,517,0.04061895551257253,4.061895551257253
8,"Kultura, media i sport",23,505,0.04554455445544554,4.554455445544554
9,"Kultura, media i sport",21,475,0.04421052631578947,4.421052631578947
10,"Kultura, media i sport",27,488,0.055327868852459015,5.532786885245901
7,Polityka,74,517,0.14313346228239845,14.313346228239846
8,Polityka,100,505,0.19801980198019803,19.801980198019802
9,Polityka,140,475,0.29473684210526313,29.47368421052631
10,Polityka,68,488,0.13934426229508196,13.934426229508196
7,Prawo,54,517,0.10444874274661509,10.444874274661508
8,Prawo,61,505,0.12079207920792079,12.07920792079208
9,Prawo,59,475,0.12421052631578948,12.421052631578949
10,Prawo,92,488,0.1885245901639344,18.852459016393443
7,Sektor publiczny i służby,44,517,0.0851063829787234,8.51063829787234
8,Sektor publiczny i służby,38,505,0.07524752475247524,7.524752475247524
9,Sektor publiczny i służby,36,475,0.07578947368421053,7.578947368421053
10,Sektor publiczny i służby,69,488,0.1413934426229508,14.139344262295081
7,Technika i IT,57,517,0.1102514506769826,11.02514506769826
8,Technika i IT,47,505,0.09306930693069307,9.306930693069306
9,Technika i IT,32,475,0.06736842105263158,6.7368421052631575
10,Technika i IT,43,488,0.08811475409836066,8.811475409836065
7,Zdrowie,26,517,0.05029013539651837,5.029013539651837
8,Zdrowie,28,505,0.055445544554455446,5.544554455445545
9,Zdrowie,19,475,0.04,4.0
10,Zdrowie,19,488,0.0389344262295082,3.8934426229508197
